implementation,format,matrix,rows,cols,nnz,processes,avg_time_s,std_time_s,gflops,comm_time_s,compute_time_s,file_parse_s,input_total_s,input_read_parse_s,input_file_io_s,input_parse_s,matrix_validation_s,matrix_redistribution_s,matrix_pack_s,matrix_exchange_s,matrix_source_nnz,matrix_remote_nnz,matrix_remote_fraction,format_conv_s,h2d_transfer_s,valid,max_abs_error
MPI mpi-io-in cyclic-x adaptive host-staged MPI,CSR,webbase-1M.mtx,1000005,1000005,3105536,1,1.050705600e-04,6.762420620e-07,59.113342500,2.466000002e-08,9.615360275e-05,1.919507590e+00,1.919507944e+00,1.874009407e+00,1.129201170e+00,7.448065410e-01,5.714700000e-05,4.462967800e-02,3.181018200e-02,1.281949600e-02,3105536,0,0.000000000e+00,9.720002209e-02,3.781550000e-03,1,2.022539686e-06
MPI mpi-io-in cyclic-x adaptive host-staged MPI,CSR,bone010.mtx,986703,986703,71666325,1,1.190487640e-03,1.359723424e-06,120.398268058,2.640000034e-08,1.181429782e-03,1.998512272e+01,1.998512303e+01,1.908221803e+01,9.895787162e+00,9.186429238e+00,5.841900000e-05,8.907688670e-01,6.270667730e-01,2.637020940e-01,71666325,0,0.000000000e+00,1.148812080e+00,5.746026300e-02,0,1.655946069e-02
MPI mpi-io-in cyclic-x adaptive host-staged MPI,CSR,eu-2005.mtx,862664,862664,19235140,1,3.750058800e-04,8.376072263e-07,102.585804788,2.535999968e-08,3.660185599e-04,6.955887194e+00,6.955887428e+00,6.711313936e+00,4.509228532e+00,2.202083383e+00,5.618800000e-05,2.408803750e-01,1.698000090e-01,7.108036600e-02,19235140,0,0.000000000e+00,4.225581686e-01,1.607153000e-02,1,2.038478851e-05
MPI mpi-io-in cyclic-x adaptive host-staged MPI,CSR,Si41Ge41H72.mtx,185639,185639,15011265,1,2.592081800e-04,9.486817942e-07,115.824006789,3.443999930e-08,2.502451193e-04,7.001635313e+00,7.001635708e+00,6.811100527e+00,4.385522191e+00,2.425577617e+00,1.541800000e-05,1.887431900e-01,1.324513850e-01,5.629180500e-02,15011265,0,0.000000000e+00,2.785277468e-01,1.183299300e-02,1,2.488980691e-05
MPI mpi-io-in cyclic-x adaptive host-staged MPI,CSR,FullChip.mtx,2987012,2987012,26621990,1,5.312862400e-04,8.111437494e-07,100.217125894,2.440000017e-08,5.222604644e-04,2.371227387e+01,2.371227413e+01,2.337406095e+01,1.610095686e+01,7.273103323e+00,4.930400000e-05,3.340150460e-01,2.353887770e-01,9.862626900e-02,26621990,0,0.000000000e+00,5.855426416e-01,2.481178000e-02,1,4.810702203e-04
MPI mpi-io-in cyclic-x adaptive host-staged MPI,CSR,rajat31.mtx,4690002,4690002,20316253,1,4.348908200e-04,9.809510829e-07,93.431510005,2.722000005e-08,4.257587159e-04,1.862081736e+01,1.862081759e+01,1.836753129e+01,1.243261334e+01,5.934917192e+00,1.611100001e-05,2.497656420e-01,1.773817360e-01,7.238390600e-02,20316253,0,0.000000000e+00,4.918139504e-01,1.822249800e-02,1,6.988048553e-04
MPI mpi-io-in cyclic-x adaptive host-staged MPI,CSR,webbase-2001.mtx,118142155,118142155,1019903190,1,1.631239348e-02,3.534318251e-06,125.046418387,2.515999995e-08,1.630451691e-02,4.720059923e+02,4.720059928e+02,4.596625279e+02,3.311976656e+02,1.284648601e+02,1.716800000e-05,1.224290358e+01,8.882849158e+00,3.360054418e+00,1019903190,0,0.0000,9.498624540e-02,3.735429000e-03,1,2.022539686e-06
MPI mpi-io-in cyclic-x adaptive host-staged MPI,CSR,nlpkkt240.mtx,27993600,27993600,774472352,1,1.132738380e-02,1.155263282e-05,136.743376171,2.486000312e-08,1.131968506e-02,3.013363819e+02,3.013363822e+02,2.921093662e+02,2.134262263e+02,7.868313716e+01,3.096800003e-05,9.133975314e+00,6.612282820e+00,2.521692494e+00,774472352,0,0.000000000e+00,1.248431392e+01,5.569817730e-01,1,1.153945923e-04
MPI mpi-io-in cyclic-x adaptive host-staged MPI,CSR,rmat_22.mtx,4194304,4194304,37748204,1,1.797130380e-03,3.755790747e-05,42.009421709,2.444001211e-08,1.788354540e-03,7.841546761e+00,7.841547396e+00,7.393866894e+00,4.933771473e+00,2.460093660e+00,2.803300004e-05,4.413673880e-01,3.206222620e-01,1.207451260e-01,37748204,0,0.000000000e+00,2.024269343e+00,2.948406800e-02,1,7.343292236e-05
MPI mpi-io-in cyclic-x adaptive host-staged MPI,CSR,rmat_24.mtx,16777216,16777216,150994124,1,1.158504954e-02,1.084083910e-03,26.067065743,2.638000296e-08,1.157728256e-02,3.524762330e+01,3.524762379e+01,3.345180977e+01,2.314758561e+01,1.030422115e+01,2.300599999e-05,1.772739385e+00,1.286178922e+00,4.865604630e-01,150994124,0,0.000000000e+00,1.018692520e+01,1.174897470e-01,1,8.273124695e-05
