implementation,format,matrix,rows,cols,nnz,processes,avg_time_s,std_time_s,gflops,file_parse_s,format_conv_s,h2d_transfer_s,valid,max_abs_error
MPI adaptive,CSR,ldoor.mtx,952203,952203,46522475,1,7.548825634e-04,8.772224292e-07,123.257516489,6.196491223e+00,3.669131535e-01,3.317155600e-02,0,1.997471085e+01
MPI adaptive,CSR,webbase-1M.mtx,1000005,1000005,3105536,1,9.676800296e-05,7.168002427e-07,64.185183224,6.911066020e-01,3.349431531e-02,3.034462000e-03,1,2.022539686e-06
MPI adaptive,CSR,bone010.mtx,986703,986703,71666325,1,1.181911054e-03,1.086512565e-06,121.271943059,8.058570573e+00,4.835879774e-01,5.040119100e-02,0,1.655946069e-02
MPI adaptive,CSR,boyd2.mtx,466316,466316,1500397,1,3.319808006e-05,6.002424156e-07,90.390588682,1.526077780e-01,9.177637749e-03,1.664267000e-03,1,7.548362541e+01
MPI adaptive,CSR,ASIC_680ks.mtx,682712,682712,2329176,1,5.083135858e-05,6.717941768e-07,91.643271594,6.288962090e-01,1.835302539e-02,2.256979000e-03,1,3.744061245e-02
MPI adaptive,CSR,eu-2005.mtx,862664,862664,19235140,1,3.661516806e-04,8.475665896e-07,105.066512140,1.853989395e+00,2.183182646e-01,1.409719400e-02,1,2.038478851e-05
MPI adaptive,CSR,Si41Ge41H72.mtx,185639,185639,15011265,1,2.504908800e-04,6.440656344e-07,119.854782731,2.217591322e+00,1.350122383e-01,1.093281200e-02,1,2.488980691e-05
MPI adaptive,CSR,Rucci1.mtx,1977885,109900,7791168,1,1.354137580e-04,1.122856543e-06,115.072029822,2.157852339e+00,1.084675191e-01,6.561863000e-03,1,2.607567424e-07
MPI adaptive,CSR,FullChip.mtx,2987012,2987012,26621990,1,5.227724671e-04,8.253274156e-07,101.849242925,6.655839205e+00,2.415625798e-01,1.997046800e-02,1,4.810702203e-04
MPI adaptive,CSR,rajat31.mtx,4690002,4690002,20316253,1,4.270694426e-04,8.787374884e-07,95.142620730,5.425214955e+00,1.554628012e-01,1.628051100e-02,1,6.988048553e-04
MPI adaptive,CSR,ldoor.mtx,952203,952203,46522475,2,3.928166485e-04,7.225559869e-07,236.866106259,1.172347246e+01,2.774753693e-01,2.849572500e-02,0,1.997471085e+01
MPI adaptive,CSR,webbase-1M.mtx,1000005,1000005,3105536,2,6.275071889e-05,8.698580079e-07,98.980093132,1.341517691e+00,2.726559743e-02,2.376556000e-03,1,2.022539686e-06
MPI adaptive,CSR,bone010.mtx,986703,986703,71666325,2,6.030540824e-04,8.528208426e-07,237.677936664,1.516993862e+01,3.628454515e-01,4.281335100e-02,0,1.655946069e-02
MPI adaptive,CSR,boyd2.mtx,466316,466316,1500397,2,3.384320028e-05,6.850095457e-07,88.667560250,3.182677150e-01,9.560950693e-03,1.494115000e-03,1,4.365163746e+02
MPI adaptive,CSR,ASIC_680ks.mtx,682712,682712,2329176,2,3.135487946e-05,8.034324868e-07,148.568646431,1.139481034e+00,1.576095554e-02,1.744480000e-03,1,3.744061245e-02
MPI adaptive,CSR,eu-2005.mtx,862664,862664,19235140,2,2.034892783e-04,1.024819857e-06,189.053105547,4.492117241e+00,1.549015278e-01,1.199799500e-02,1,2.038478851e-05
MPI adaptive,CSR,Si41Ge41H72.mtx,185639,185639,15011265,2,1.427046384e-04,7.457667307e-07,210.382299681,4.069256032e+00,1.086495225e-01,8.424816000e-03,1,2.532686109e-05
MPI adaptive,CSR,Rucci1.mtx,1977885,109900,7791168,2,7.624704346e-05,5.305072940e-07,204.366429081,4.020927462e+00,9.063052625e-02,5.850557000e-03,1,2.607567424e-07
MPI adaptive,CSR,FullChip.mtx,2987012,2987012,26621990,2,2.879283136e-04,9.427453935e-07,184.920959429,1.295602668e+01,1.921502306e-01,1.737988600e-02,1,4.810702203e-04
MPI adaptive,CSR,rajat31.mtx,4690002,4690002,20316253,2,2.369945616e-04,8.232872610e-07,171.449107244,1.017178903e+01,1.154682277e-01,1.379498600e-02,1,6.988048553e-04
MPI adaptive,CSR,ldoor.mtx,952203,952203,46522475,3,2.719743967e-04,7.384097121e-07,342.109224718,1.177317195e+01,1.886711315e-01,1.901700500e-02,0,1.997471085e+01
MPI adaptive,CSR,webbase-1M.mtx,1000005,1000005,3105536,3,4.447232015e-05,8.096081159e-07,139.661523807,1.347461388e+00,1.793667996e-02,1.738731000e-03,1,2.022539686e-06
MPI adaptive,CSR,bone010.mtx,986703,986703,71666325,3,4.115148818e-04,1.869494581e-06,348.304900556,1.519750651e+01,2.408339106e-01,2.768898800e-02,0,1.655946069e-02
MPI adaptive,CSR,boyd2.mtx,466316,466316,1500397,3,3.040255981e-05,6.091718343e-07,98.702017829,3.209425130e-01,5.940506542e-03,1.306192000e-03,1,1.440215890e+02
MPI adaptive,CSR,ASIC_680ks.mtx,682712,682712,2329176,3,2.594815953e-05,8.594283288e-07,179.525333777,1.144034525e+00,1.086335676e-02,1.429112000e-03,1,3.744061245e-02
MPI adaptive,CSR,eu-2005.mtx,862664,862664,19235140,3,1.481625621e-04,7.482202799e-07,259.649127649,4.516297970e+00,9.910395812e-02,8.325366000e-03,1,2.056360245e-05
MPI adaptive,CSR,Si41Ge41H72.mtx,185639,185639,15011265,3,1.083289594e-04,7.970775549e-07,277.142235656,4.078220723e+00,7.205089879e-02,4.747656000e-03,1,2.745016057e-05
MPI adaptive,CSR,Rucci1.mtx,1977885,109900,7791168,3,5.805056099e-05,8.023222005e-07,268.426966676,4.030410981e+00,7.220090435e-02,3.051688000e-03,1,2.607567424e-07
MPI adaptive,CSR,FullChip.mtx,2987012,2987012,26621990,3,2.191564795e-04,6.942046267e-07,242.949604376,1.300279196e+01,1.284545673e-01,8.397718000e-03,1,1.080270620e-03
MPI adaptive,CSR,rajat31.mtx,4690002,4690002,20316253,3,1.623039988e-04,8.255766743e-07,250.348151052,1.018723564e+01,8.015354170e-02,9.419794000e-03,1,6.988048553e-04
MPI adaptive,CSR,ldoor.mtx,952203,952203,46522475,4,2.123673624e-04,7.784405657e-07,438.132060206,1.180546601e+01,1.493241234e-01,1.465193500e-02,0,1.997471085e+01
MPI adaptive,CSR,webbase-1M.mtx,1000005,1000005,3105536,4,4.190207928e-05,8.021263424e-07,148.228252777,1.352036971e+00,1.573334666e-02,2.080445000e-03,1,2.022539686e-06
MPI adaptive,CSR,bone010.mtx,986703,986703,71666325,4,3.135692820e-04,1.536546435e-06,457.100418408,1.523014317e+01,1.822115059e-01,2.244768400e-02,0,1.655946069e-02
MPI adaptive,CSR,boyd2.mtx,466316,466316,1500397,4,2.905088041e-05,9.458013074e-07,103.294425424,3.201450990e-01,5.555394122e-03,1.062758000e-03,1,4.365163746e+02
