implementation,format,matrix,rows,cols,nnz,processes,avg_time_s,std_time_s,gflops,comm_time_s,compute_time_s,file_parse_s,input_total_s,input_read_parse_s,input_file_io_s,input_parse_s,matrix_validation_s,matrix_redistribution_s,matrix_pack_s,matrix_exchange_s,matrix_source_nnz,matrix_remote_nnz,matrix_remote_fraction,format_conv_s,h2d_transfer_s,valid,max_abs_error
MPI root-in cyclic-x adaptive CUDA-aware MPI,CSR,webbase-1M.mtx,1000005,1000005,3105536,4,2.600811600e-04,7.590783917e-05,23.881283827,1.975852200e-04,4.159487918e-05,1.696870123e+00,1.782253284e+00,1.696870123e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,8.521972300e-02,6.557457000e-02,1.964515300e-02,3105536,2340633,7.536969464e-01,2.436719899e-01,3.098660000e-03,1,2.022539686e-06
MPI root-in cyclic-x adaptive CUDA-aware MPI,CSR,bone010.mtx,986703,986703,71666325,4,2.990709100e-03,4.784200274e-04,47.925975147,2.627461980e-03,3.324927986e-04,1.689247002e+01,1.860007451e+01,1.689247002e+01,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.707328617e+00,1.435795995e+00,2.715326220e-01,71666325,53750337,7.500082779e-01,6.091039995e+00,2.881285800e-02,0,1.655946069e-02
MPI root-in cyclic-x adaptive CUDA-aware MPI,CSR,eu-2005.mtx,862664,862664,19235140,4,1.486129620e-03,1.408761779e-04,25.886221149,1.335239880e-03,1.249075188e-04,5.106414936e+00,5.571169558e+00,5.106414936e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,4.646183230e-01,3.871336910e-01,7.748463200e-02,19235140,14431449,7.502648278e-01,1.596710741e+00,1.047744600e-02,1,2.056360245e-05
MPI root-in cyclic-x adaptive CUDA-aware MPI,CSR,Si41Ge41H72.mtx,185639,185639,15011265,4,6.146895800e-04,1.200470669e-04,48.841774738,5.001379000e-04,9.125888109e-05,4.917666653e+00,5.276857440e+00,4.917666653e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,3.591244570e-01,3.022862800e-01,5.683817700e-02,15011265,11280264,7.514532586e-01,1.254214115e+00,6.977008000e-03,1,2.730414435e-05
MPI root-in cyclic-x adaptive CUDA-aware MPI,CSR,FullChip.mtx,2987012,2987012,26621990,4,6.585037720e-03,9.481720585e-04,8.085599850,6.377411780e-03,1.835212815e-04,1.504994538e+01,1.568367285e+01,1.504994538e+01,0.000000000e+00,0.000000000e+00,0.000000000e+00,6.336490430e-01,5.342939180e-01,9.935512500e-02,26621990,20997284,7.887195510e-01,2.823840052e+00,2.171883300e-02,1,4.810702203e-04
MPI root-in cyclic-x adaptive CUDA-aware MPI,CSR,rajat31.mtx,4690002,4690002,20316253,4,4.592509180e-03,7.848023141e-04,8.847561193,4.419310300e-03,1.391411185e-04,1.219837823e+01,1.268145636e+01,1.219837823e+01,0.000000000e+00,0.000000000e+00,0.000000000e+00,4.829702200e-01,4.085413910e-01,7.442882900e-02,20316253,15238126,7.500460838e-01,1.773574161e+00,2.114829800e-02,1,6.988048553e-04
MPI root-in cyclic-x adaptive CUDA-aware MPI,CSR,webbase-2001.mtx,118142155,118142155,1019903190,4,2.257000877e-01,1.379363291e-02,9.037685366,2.203883058e-01,4.470927410e-03,3.232543013e+02,3.475080001e+02,3.232543013e+02,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.425352140e+01,2.043991766e+01,3.813603739e+00,1019903190,764869396,7.499431353e-01,1.119732170e+02,6.286943120e-01,1,5.072355270e-05
MPI root-in cyclic-x adaptive CUDA-aware MPI,CSR,nlpkkt240.mtx,27993600,27993600,774472352,4,7.721741274e-02,1.000474171e-03,20.059526071,7.424469564e-02,3.033722854e-03,1.740897842e+02,1.924205407e+02,1.740897842e+02,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.833059937e+01,1.549088102e+01,2.839718349e+00,774472352,580857136,7.500037083e-01,7.200051545e+01,3.562941120e-01,1,1.153945923e-04
MPI root-in cyclic-x adaptive CUDA-aware MPI,CSR,rmat_24.mtx,16777216,16777216,150994124,4,1.402240844e-02,9.672221999e-04,21.536118370,1.211157502e-02,1.848483853e-03,2.365109638e+01,2.723279517e+01,2.365109638e+01,0.000000000e+00,0.000000000e+00,0.000000000e+00,3.581573740e+00,3.020674884e+00,5.608988560e-01,150994124,112974794,7.482065593e-01,2.225227214e+01,7.266231500e-02,1,6.633996964e-05
MPI root-in cyclic-x adaptive CUDA-aware MPI,CSR,rmat_22.mtx,4194304,4194304,37748204,4,2.990378540e-03,4.544101714e-04,25.246438533,2.510077820e-03,4.675584000e-04,5.839224321e+00,6.741746831e+00,5.839224321e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.024010110e-01,7.570787090e-01,1.453223020e-01,37748204,28195136,7.469265558e-01,4.602323234e+00,1.957214500e-02,1,1.341104507e-04
MPI root-in cyclic-x adaptive CUDA-aware MPI,CSR,webbase-1M.mtx,1000005,1000005,3105536,3,1.793216200e-04,1.354192577e-05,34.636492800,1.173504800e-04,4.384767994e-05,1.343621621e+00,1.424418315e+00,1.343621621e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,8.060222000e-02,6.448705900e-02,1.611516100e-02,3105536,2061753,6.638960231e-01,2.727550679e-01,3.269077000e-03,1,2.022539686e-06
MPI root-in cyclic-x adaptive CUDA-aware MPI,CSR,bone010.mtx,986703,986703,71666325,3,2.096954600e-03,1.214837547e-04,68.352767389,1.636977600e-03,4.348928034e-04,1.516588549e+01,1.684341166e+01,1.516588549e+01,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.677217058e+00,1.416662178e+00,2.605548800e-01,71666325,47777550,6.666666667e-01,7.427803807e+00,3.443643900e-02,0,1.655946069e-02
MPI root-in cyclic-x adaptive CUDA-aware MPI,CSR,eu-2005.mtx,862664,862664,19235140,3,1.216735520e-03,1.380718334e-04,31.617618922,1.037651580e-03,1.537228844e-04,4.476741827e+00,4.927568048e+00,4.476741827e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,4.507134010e-01,3.817126220e-01,6.900077900e-02,19235140,12818593,6.664153731e-01,1.865859882e+00,1.207518000e-02,1,2.056360245e-05
