implementation,format,matrix,rows,cols,nnz,processes,avg_time_s,std_time_s,gflops,comm_time_s,compute_time_s,file_parse_s,format_conv_s,h2d_transfer_s,valid,max_abs_error
MPI root-in cyclic-x cusparse C,CSR,ldoor.mtx,952203,952203,46522475,1,5.642754600e-04,6.128600072e-07,164.892781267,2.393999999e-08,5.561446428e-04,6.361432260e+00,6.986308743e-01,3.217496200e-02,0,8.720193364e+00
MPI root-in cyclic-x cusparse C,CSR,webbase-1M.mtx,1000005,1000005,3105536,1,8.175521000e-05,6.302414666e-07,75.971574166,2.395000003e-08,7.395328268e-05,6.814639830e-01,5.512273596e-02,3.468935000e-03,1,6.654379181e-07
MPI root-in cyclic-x cusparse C,CSR,bone010.mtx,986703,986703,71666325,1,8.201933300e-04,5.954113039e-07,174.754713014,2.391000002e-08,8.118783832e-04,8.180079985e+00,9.946538639e-01,4.892125100e-02,1,6.276957065e-03
MPI root-in cyclic-x cusparse C,CSR,boyd2.mtx,466316,466316,1500397,1,3.963690000e-05,4.396413195e-07,75.707081028,2.395999996e-08,3.291135997e-05,1.547417380e-01,1.984137378e-02,2.023029000e-03,1,1.759784110e+02
MPI root-in cyclic-x cusparse C,CSR,ASIC_680ks.mtx,682712,682712,2329176,1,5.554369000e-05,5.109162689e-07,83.868248581,2.393000035e-08,4.876288153e-05,6.402852160e-01,3.488418550e-02,2.628153000e-03,1,5.070871004e-02
MPI root-in cyclic-x cusparse C,CSR,eu-2005.mtx,862664,862664,19235140,1,2.582625600e-04,5.627705095e-07,148.958021635,2.476000009e-08,2.504294398e-04,1.883125625e+00,3.562869736e-01,1.386074600e-02,1,7.450580597e-06
MPI root-in cyclic-x cusparse C,CSR,Si41Ge41H72.mtx,185639,185639,15011265,1,1.913465000e-04,6.177434016e-07,156.901380480,2.378000001e-08,1.834495983e-04,2.245182748e+00,2.421798739e-01,1.081055700e-02,1,7.605211852e-06
MPI root-in cyclic-x cusparse C,CSR,Rucci1.mtx,1977885,109900,7791168,1,1.624702200e-04,1.128712723e-06,95.908874869,2.388999977e-08,1.543475226e-04,2.194409874e+00,1.621213628e-01,6.685468000e-03,1,2.610918273e-07
MPI root-in cyclic-x cusparse C,CSR,FullChip.mtx,2987012,2987012,26621990,1,4.316886200e-04,1.130708006e-06,123.338854751,2.399000010e-08,4.233728009e-04,6.740878876e+00,4.447240940e-01,2.304488600e-02,1,1.251503418e-04
MPI root-in cyclic-x cusparse C,CSR,rajat31.mtx,4690002,4690002,20316253,1,3.890730400e-04,1.137944576e-06,104.434134012,2.404000021e-08,3.808460802e-04,5.499321358e+00,2.973180135e-01,1.774104100e-02,1,2.777576447e-04
