implementation,format,matrix,rows,cols,nnz,processes,avg_time_s,std_time_s,gflops,comm_time_s,compute_time_s,file_parse_s,format_conv_s,h2d_transfer_s,valid,max_abs_error
MPI dist-x adaptive,CSR,ASIC_680ks.mtx,682712,682712,2329176,1,5.734659000e-05,7.355985059e-07,81.231543148,2.388999992e-08,5.052415855e-05,6.347328850e-01,2.676424118e-02,2.537772000e-03,1,3.744061245e-02
MPI dist-x adaptive,CSR,FullChip.mtx,2987012,2987012,26621990,1,5.306093500e-04,1.048141607e-06,100.344971305,2.393000003e-08,5.221887863e-04,6.732386136e+00,3.301306193e-01,2.090792800e-02,1,4.810702203e-04
MPI dist-x adaptive,CSR,Rucci1.mtx,1977885,109900,7791168,1,1.436534900e-04,1.036867016e-06,108.471684190,2.383999995e-08,1.353113583e-04,2.192830947e+00,1.346330888e-01,6.514378000e-03,1,2.607567424e-07
MPI dist-x adaptive,CSR,Si41Ge41H72.mtx,185639,185639,15011265,1,2.573085200e-04,6.443514176e-07,116.679113463,2.381999987e-08,2.489651196e-04,2.243310415e+00,1.852193970e-01,1.069902400e-02,1,2.488980691e-05
MPI dist-x adaptive,CSR,bone010.mtx,986703,986703,71666325,1,1.181582950e-03,1.584963087e-06,121.305618027,2.378000008e-08,1.173053432e-03,8.158913976e+00,7.221123660e-01,4.990547300e-02,0,1.655946069e-02
MPI dist-x adaptive,CSR,boyd2.mtx,466316,466316,1500397,1,3.927549000e-05,5.687068577e-07,76.403731691,2.387000016e-08,3.269631989e-05,1.618659180e-01,1.473769719e-02,1.883738000e-03,1,1.278865505e+02
MPI dist-x adaptive,CSR,eu-2005.mtx,862664,862664,19235140,1,3.726218000e-04,7.326383556e-07,103.242161355,2.384999995e-08,3.643084824e-04,1.879404347e+00,2.819004823e-01,1.429865500e-02,1,2.038478851e-05
MPI dist-x adaptive,CSR,ldoor.mtx,952203,952203,46522475,1,7.597800100e-04,8.552609016e-07,122.463013998,2.390000001e-08,7.514111996e-04,6.314196098e+00,5.229628285e-01,3.287360200e-02,0,1.997471085e+01
MPI dist-x adaptive,CSR,rajat31.mtx,4690002,4690002,20316253,1,4.355627100e-04,8.643700511e-07,93.287384496,2.396000014e-08,4.272844824e-04,5.499345211e+00,2.226568831e-01,1.787327100e-02,1,6.988048553e-04
MPI dist-x adaptive,CSR,webbase-1M.mtx,1000005,1000005,3105536,1,9.243463000e-05,6.587283758e-07,67.194210655,2.386999999e-08,8.483839892e-05,6.838062700e-01,4.405176311e-02,3.472288000e-03,1,2.022539686e-06
MPI dist-x adaptive,CSR,ASIC_680ks.mtx,682712,682712,2329176,2,9.595645000e-04,7.150847799e-06,4.854652293,1.228019300e-04,3.838111997e-05,1.143625558e+00,9.682066682e-02,2.657494000e-03,1,3.744061245e-02
MPI dist-x adaptive,CSR,FullChip.mtx,2987012,2987012,26621990,2,7.605492310e-03,1.618619560e-05,7.000727610,1.464226380e-03,3.041423997e-04,1.295487527e+01,1.772155324e+00,1.825514200e-02,1,4.810702203e-04
MPI dist-x adaptive,CSR,Rucci1.mtx,1977885,109900,7791168,2,3.507840400e-04,3.570053643e-06,44.421450873,3.663936000e-05,8.334016025e-05,4.026246765e+00,5.380239479e-01,6.233968000e-03,1,2.607567424e-07
MPI dist-x adaptive,CSR,Si41Ge41H72.mtx,185639,185639,15011265,2,5.984203800e-04,4.324843439e-06,50.169631589,6.329993000e-05,1.532035200e-04,4.090413605e+00,8.363768864e-01,9.558781000e-03,1,2.532686109e-05
MPI dist-x adaptive,CSR,bone010.mtx,986703,986703,71666325,2,2.859071080e-03,1.551502366e-05,50.132594115,3.860518900e-04,6.193852800e-04,1.518285675e+01,3.705015782e+00,4.319928900e-02,0,1.655946069e-02
MPI dist-x adaptive,CSR,boyd2.mtx,466316,466316,1500397,2,1.132383200e-03,6.296259245e-06,2.649981031,1.466287200e-04,4.072415993e-05,3.164335410e-01,9.204193424e-02,2.089895000e-03,1,4.365163746e+02
MPI dist-x adaptive,CSR,eu-2005.mtx,862664,862664,19235140,2,1.885804000e-03,1.332986496e-05,20.399935518,2.460643400e-04,2.152790399e-04,4.500481327e+00,1.062535892e+00,1.279268800e-02,1,2.038478851e-05
MPI dist-x adaptive,CSR,ldoor.mtx,952203,952203,46522475,2,2.592762860e-03,2.092234927e-05,35.886409604,3.143115700e-04,4.151200011e-04,1.174141739e+01,2.473788572e+00,2.917971800e-02,0,1.997471085e+01
MPI dist-x adaptive,CSR,rajat31.mtx,4690002,4690002,20316253,2,9.896457350e-03,4.528815931e-05,4.105762756,1.971565110e-03,2.429516800e-04,1.020969083e+01,1.157277755e+00,1.587690700e-02,1,6.988048553e-04
MPI dist-x adaptive,CSR,webbase-1M.mtx,1000005,1000005,3105536,2,2.597438000e-04,4.116144264e-06,23.912301275,3.314004000e-05,5.971327994e-05,1.346602682e+00,1.256023685e-01,3.394661000e-03,1,2.022539686e-06
MPI dist-x adaptive,CSR,ASIC_680ks.mtx,682712,682712,2329176,3,1.091712290e-03,7.400358565e-06,4.267014343,6.499011600e-04,3.327007983e-05,1.151296235e+00,9.944852814e-02,2.202715000e-03,1,3.744061245e-02
MPI dist-x adaptive,CSR,FullChip.mtx,2987012,2987012,26621990,3,1.035680822e-02,6.503445292e-05,5.140964172,6.529447450e-03,2.355123198e-04,1.305641118e+01,1.530019543e+00,1.279374900e-02,1,4.810702203e-04
MPI dist-x adaptive,CSR,Rucci1.mtx,1977885,109900,7791168,3,4.676337100e-04,6.516029623e-06,33.321669646,2.421330500e-04,6.487167984e-05,4.059118374e+00,5.030555068e-01,4.588421000e-03,1,2.607567424e-07
