implementation,format,matrix,rows,cols,nnz,processes,avg_time_s,std_time_s,gflops,comm_time_s,compute_time_s,file_parse_s,input_total_s,input_read_parse_s,input_file_io_s,input_parse_s,matrix_validation_s,matrix_redistribution_s,matrix_pack_s,matrix_exchange_s,matrix_source_nnz,matrix_remote_nnz,matrix_remote_fraction,format_conv_s,h2d_transfer_s,valid,max_abs_error
MPI distributed-in cyclic-x adaptive CUDA-aware MPI,CSR,webbase-1M.mtx,1000005,1000005,3105536,2,1.129944800e-04,3.813362056e-06,54.967924097,3.379678000e-05,5.834752113e-05,1.072980814e+00,1.072981104e+00,1.025770275e+00,0.000000000e+00,0.000000000e+00,4.494410900e-02,4.659163300e-02,3.359308100e-02,1.299855200e-02,3105536,1561913,5.029447413e-01,3.097635533e-01,4.020204000e-03,1,2.022539686e-06
MPI distributed-in cyclic-x adaptive CUDA-aware MPI,CSR,bone010.mtx,986703,986703,71666325,2,1.232920960e-03,1.492827637e-04,116.254532651,5.929757800e-04,6.126182556e-04,1.274546416e+01,1.274546442e+01,1.179266666e+01,0.000000000e+00,0.000000000e+00,6.038848460e-01,9.397559050e-01,7.027195860e-01,2.370363190e-01,71666325,35832727,4.999939232e-01,7.984837585e+00,4.755309400e-02,0,1.655946069e-02
MPI distributed-in cyclic-x adaptive CUDA-aware MPI,CSR,eu-2005.mtx,862664,862664,19235140,2,6.446694200e-04,1.159714569e-04,59.674429726,4.105194800e-04,2.075443199e-04,3.837843924e+00,3.837844449e+00,3.576493032e+00,0.000000000e+00,0.000000000e+00,3.734951380e-01,2.582881220e-01,1.893880070e-01,6.890011500e-02,19235140,9602380,4.992102995e-01,2.177893325e+00,1.534584700e-02,1,2.038478851e-05
MPI distributed-in cyclic-x adaptive CUDA-aware MPI,CSR,Si41Ge41H72.mtx,185639,185639,15011265,2,2.605234600e-04,2.611991276e-05,115.239257148,9.397914000e-05,1.453670415e-04,3.208733117e+00,3.208733480e+00,3.008861256e+00,0.000000000e+00,0.000000000e+00,1.272322600e-01,1.987306410e-01,1.477279180e-01,5.100272300e-02,15011265,7508784,5.002099423e-01,1.606386978e+00,1.044127900e-02,1,2.532686109e-05
MPI distributed-in cyclic-x adaptive CUDA-aware MPI,CSR,FullChip.mtx,2987012,2987012,26621990,2,2.225530260e-03,5.101106258e-04,23.924177063,1.890052300e-03,2.992537647e-04,1.026760106e+01,1.026760136e+01,9.900948495e+00,0.000000000e+00,0.000000000e+00,6.808290910e-01,3.637706770e-01,2.748171860e-01,8.895349100e-02,26621990,13357219,5.017363090e-01,3.429406480e+00,2.994911300e-02,1,4.810702203e-04
MPI distributed-in cyclic-x adaptive CUDA-aware MPI,CSR,rajat31.mtx,4690002,4690002,20316253,2,3.446914700e-03,7.860335813e-04,11.788079931,3.167141300e-03,2.311168009e-04,7.894321821e+00,7.894322159e+00,7.623785115e+00,0.000000000e+00,0.000000000e+00,3.979009790e-01,2.675284910e-01,1.980914700e-01,6.943702100e-02,20316253,10160017,5.000930536e-01,2.910617056e+00,2.864981900e-02,1,6.988048553e-04
MPI distributed-in cyclic-x adaptive CUDA-aware MPI,CSR,webbase-2001.mtx,118142155,118142155,1019903190,2,1.016223279e-01,5.487376177e-04,20.072423273,9.241744550e-02,8.508190727e-03,2.098533086e+02,2.098533088e+02,1.963374878e+02,0.000000000e+00,0.000000000e+00,5.211247027e+00,1.341310814e+01,1.025465481e+01,3.158453328e+00,1019903190,509969816,5.000178654e-01,1.712115416e+02,9.307311600e-01,1,5.072355270e-05
MPI distributed-in cyclic-x adaptive CUDA-aware MPI,CSR,nlpkkt240.mtx,27993600,27993600,774472352,2,3.517134548e-02,8.568360171e-04,44.039961590,2.922576514e-02,5.744107513e-03,1.375090364e+02,1.375090367e+02,1.271724016e+02,0.000000000e+00,0.000000000e+00,7.415142947e+00,1.023899081e+01,7.880347566e+00,2.358643246e+00,774472352,387236143,4.999999574e-01,7.384341041e+01,5.537489970e-01,1,1.153945923e-04
MPI distributed-in cyclic-x adaptive CUDA-aware MPI,CSR,rmat_24.mtx,16777216,16777216,150994124,2,9.039738340e-03,1.088871622e-03,33.406746594,4.348361680e-03,4.627394552e-03,2.006821154e+01,2.006821187e+01,1.809536728e+01,0.000000000e+00,0.000000000e+00,1.672418308e+00,1.948913900e+00,1.488182166e+00,4.607317340e-01,150994124,75499917,5.000189080e-01,3.162241505e+01,1.146915610e-01,1,6.633996964e-05
MPI distributed-in cyclic-x adaptive CUDA-aware MPI,CSR,rmat_22.mtx,4194304,4194304,37748204,2,1.683743660e-03,2.755858237e-04,44.838421545,7.522305800e-04,8.983347130e-04,4.319192476e+00,4.319192713e+00,3.814870358e+00,0.000000000e+00,0.000000000e+00,3.643077070e-01,4.979000250e-01,3.777232020e-01,1.201768230e-01,37748204,18869010,4.998651062e-01,6.650472656e+00,2.921253100e-02,1,1.341104507e-04
