implementation,format,matrix,rows,cols,nnz,processes,avg_time_s,std_time_s,gflops,comm_time_s,compute_time_s,file_parse_s,format_conv_s,h2d_transfer_s,valid,max_abs_error
MPI dist-x adaptive CUDA-aware,CSR,ldoor.mtx,952203,952203,46522475,4,2.693187450e-03,4.356261659e-04,34.548263620,2.441979640e-03,2.351923214e-04,1.183559868e+01,2.254324607e+00,1.982282100e-02,0,1.997471085e+01
MPI dist-x adaptive CUDA-aware,CSR,webbase-1M.mtx,1000005,1000005,3105536,4,2.330298300e-04,7.663714090e-05,26.653549033,1.876425600e-04,2.849792024e-05,1.352261630e+00,9.855963299e-02,2.869308000e-03,1,2.022539686e-06
MPI dist-x adaptive CUDA-aware,CSR,bone010.mtx,986703,986703,71666325,4,2.822476820e-03,5.426620865e-04,50.782578260,2.490986120e-03,3.312537569e-04,1.529090086e+01,3.402689622e+00,2.706168600e-02,0,1.655946069e-02
MPI dist-x adaptive CUDA-aware,CSR,boyd2.mtx,466316,466316,1500397,4,6.413902700e-04,1.252227098e-04,4.678577366,6.042921400e-04,1.950719940e-05,3.200895390e-01,6.265187292e-02,2.589261000e-03,1,4.365163746e+02
MPI dist-x adaptive CUDA-aware,CSR,ASIC_680ks.mtx,682712,682712,2329176,4,7.189144500e-04,1.287797889e-04,6.479702835,6.729845800e-04,2.390016057e-05,1.153031701e+00,8.598490000e-02,3.020460000e-03,1,3.744061245e-02
MPI dist-x adaptive CUDA-aware,CSR,eu-2005.mtx,862664,862664,19235140,4,1.539462070e-03,2.151465826e-04,24.989430236,1.389262100e-03,1.242828775e-04,4.521121788e+00,8.592611806e-01,9.669310000e-03,1,2.056360245e-05
MPI dist-x adaptive CUDA-aware,CSR,Si41Ge41H72.mtx,185639,185639,15011265,4,5.864806400e-04,1.047489054e-04,51.190999246,4.726725700e-04,9.218048111e-05,4.100200242e+00,7.133307492e-01,6.629956000e-03,1,2.730414435e-05
MPI dist-x adaptive CUDA-aware,CSR,Rucci1.mtx,1977885,109900,7791168,4,3.578529900e-04,7.671111639e-05,43.543959211,2.814488100e-04,5.564416021e-05,4.051261843e+00,4.070318671e-01,4.678151000e-03,1,2.607567424e-07
MPI dist-x adaptive CUDA-aware,CSR,FullChip.mtx,2987012,2987012,26621990,4,6.693575440e-03,9.784832246e-04,7.954490164,6.490653060e-03,1.797731215e-04,1.308524839e+01,1.441718399e+00,1.766689600e-02,1,4.810702203e-04
MPI dist-x adaptive CUDA-aware,CSR,rajat31.mtx,4690002,4690002,20316253,4,5.346894240e-03,1.001279607e-03,7.599272433,5.182583300e-03,1.283788806e-04,1.025722612e+01,7.988260665e-01,1.771578900e-02,1,6.988048553e-04
MPI dist-x adaptive CUDA-aware,CSR,ldoor.mtx,952203,952203,46522475,3,1.859293850e-03,9.562738666e-05,50.043165581,1.551555410e-03,2.938880020e-04,1.179497139e+01,2.464974115e+00,2.358254600e-02,0,1.997471085e+01
MPI dist-x adaptive CUDA-aware,CSR,webbase-1M.mtx,1000005,1000005,3105536,3,1.686997300e-04,1.875018386e-05,36.817320336,1.248322000e-04,2.938880052e-05,1.351485617e+00,1.118523296e-01,3.091014000e-03,1,2.022539686e-06
MPI dist-x adaptive CUDA-aware,CSR,bone010.mtx,986703,986703,71666325,3,2.001835320e-03,1.370046440e-04,71.600619975,1.560362020e-03,4.302950382e-04,1.522584375e+01,3.686371560e+00,3.378509600e-02,0,1.655946069e-02
MPI dist-x adaptive CUDA-aware,CSR,boyd2.mtx,466316,466316,1500397,3,3.271743300e-04,3.394819249e-05,9.171850371,2.912940500e-04,2.000895932e-05,3.187605090e-01,4.664205976e-02,2.092171000e-03,1,4.365163746e+02
MPI dist-x adaptive CUDA-aware,CSR,ASIC_680ks.mtx,682712,682712,2329176,3,5.158729100e-04,6.842968300e-05,9.030038038,4.692353200e-04,2.590719951e-05,1.147772794e+00,9.869768138e-02,3.023432000e-03,1,3.744061245e-02
MPI dist-x adaptive CUDA-aware,CSR,eu-2005.mtx,862664,862664,19235140,3,1.199719780e-03,9.370361080e-05,32.066054625,1.020826260e-03,1.536921647e-04,4.515437922e+00,9.867172164e-01,1.111429600e-02,1,2.056360245e-05
MPI dist-x adaptive CUDA-aware,CSR,Si41Ge41H72.mtx,185639,185639,15011265,3,4.585740700e-04,2.280573232e-05,65.469314477,3.257885700e-04,1.115136005e-04,4.085934864e+00,8.024313518e-01,7.741769000e-03,1,2.745016057e-05
MPI dist-x adaptive CUDA-aware,CSR,Rucci1.mtx,1977885,109900,7791168,3,2.468029800e-04,1.261838713e-05,63.136741704,1.661466200e-04,6.051840104e-05,4.030835298e+00,5.059221611e-01,5.054211000e-03,1,2.607567424e-07
MPI dist-x adaptive CUDA-aware,CSR,FullChip.mtx,2987012,2987012,26621990,3,4.910398560e-03,6.817884776e-04,10.843107611,4.681300090e-03,2.065715177e-04,1.301895949e+01,1.542195039e+00,1.959593900e-02,1,4.810702203e-04
MPI dist-x adaptive CUDA-aware,CSR,rajat31.mtx,4690002,4690002,20316253,3,1.087247788e-02,8.606816765e-04,3.737189116,1.066273994e-02,1.509376009e-04,1.021801974e+01,1.245346867e+00,2.525405600e-02,1,6.988048553e-04
MPI dist-x adaptive CUDA-aware,CSR,ldoor.mtx,952203,952203,46522475,2,1.021033570e-03,1.561484774e-04,91.128198655,5.821849100e-04,4.095283172e-04,1.175663797e+01,2.471791865e+00,3.201107000e-02,0,1.997471085e+01
MPI dist-x adaptive CUDA-aware,CSR,webbase-1M.mtx,1000005,1000005,3105536,2,9.772157000e-05,6.491889317e-06,63.558864230,3.537066000e-05,4.705280099e-05,1.343734371e+00,1.266050945e-01,3.713195000e-03,1,2.022539686e-06
MPI dist-x adaptive CUDA-aware,CSR,bone010.mtx,986703,986703,71666325,2,1.238918890e-03,1.664940975e-04,115.691714088,5.899611600e-04,6.192640066e-04,1.518846483e+01,3.691940320e+00,4.612139800e-02,0,1.655946069e-02
MPI dist-x adaptive CUDA-aware,CSR,boyd2.mtx,466316,466316,1500397,2,2.095321200e-04,5.344035829e-05,14.321403325,1.677751800e-04,2.308096034e-05,3.179848910e-01,9.330850619e-02,3.160943000e-03,1,4.365163746e+02
MPI dist-x adaptive CUDA-aware,CSR,ASIC_680ks.mtx,682712,682712,2329176,2,2.293321700e-04,6.431552972e-05,20.312684435,1.736313700e-04,3.359744020e-05,1.140928408e+00,9.658351494e-02,3.622797000e-03,1,3.744061245e-02
MPI dist-x adaptive CUDA-aware,CSR,eu-2005.mtx,862664,862664,19235140,2,6.273391100e-04,1.281524621e-04,61.322942228,3.901496400e-04,2.096742404e-04,4.501275730e+00,1.056663097e+00,1.453836700e-02,1,2.038478851e-05
MPI dist-x adaptive CUDA-aware,CSR,Si41Ge41H72.mtx,185639,185639,15011265,2,2.563547700e-04,2.168172177e-05,117.113209947,8.761007000e-05,1.466368002e-04,4.056653310e+00,8.310419859e-01,1.015100200e-02,1,2.532686109e-05
MPI dist-x adaptive CUDA-aware,CSR,Rucci1.mtx,1977885,109900,7791168,2,1.511809500e-04,9.496112137e-06,103.070763876,5.142164000e-05,7.782399729e-05,4.018260157e+00,5.381164052e-01,6.595092000e-03,1,2.607567424e-07
MPI dist-x adaptive CUDA-aware,CSR,FullChip.mtx,2987012,2987012,26621990,2,2.016053600e-03,5.323559887e-04,26.410002194,1.686150690e-03,2.930175999e-04,1.297000873e+01,1.767026526e+00,2.544597300e-02,1,4.810702203e-04
MPI dist-x adaptive CUDA-aware,CSR,rajat31.mtx,4690002,4690002,20316253,2,2.917787210e-03,9.520866944e-04,13.925794815,2.657204320e-03,2.328883225e-04,1.018527590e+01,1.154635594e+00,2.580359800e-02,1,6.988048553e-04
