implementation,format,matrix,rows,cols,nnz,processes,avg_time_s,std_time_s,gflops,comm_time_s,compute_time_s,file_parse_s,input_total_s,input_read_parse_s,input_file_io_s,input_parse_s,matrix_validation_s,matrix_redistribution_s,matrix_pack_s,matrix_exchange_s,matrix_source_nnz,matrix_remote_nnz,matrix_remote_fraction,format_conv_s,h2d_transfer_s,valid,max_abs_error
MPI mpi-io-in cyclic-x adaptive CUDA-aware MPI,CSR,webbase-1M.mtx,1000005,1000005,3105536,4,2.619474000e-04,7.833565534e-05,23.711142008,1.991377000e-04,4.212735921e-05,1.636900020e+00,1.636900425e+00,1.606009854e+00,1.168957160e+00,4.370520130e-01,9.775405000e-03,3.044729200e-02,1.731232200e-02,1.313497000e-02,3105536,2327234,7.493823932e-01,2.384481315e-01,3.115650000e-03,1,2.022539686e-06
MPI mpi-io-in cyclic-x adaptive CUDA-aware MPI,CSR,bone010.mtx,986703,986703,71666325,4,3.258798980e-03,4.956001866e-04,43.983274476,2.894559060e-03,3.333529633e-04,1.527279389e+01,1.527279426e+01,1.474407509e+01,9.744521405e+00,4.999551631e+00,8.067877800e-02,5.222014240e-01,3.496830880e-01,1.725183360e-01,71666325,53750615,7.500121570e-01,6.174847625e+00,2.889551000e-02,0,1.655946069e-02
MPI mpi-io-in cyclic-x adaptive CUDA-aware MPI,CSR,eu-2005.mtx,862664,862664,19235140,4,1.588573480e-03,2.332768160e-04,24.216871605,1.437561660e-03,1.246412784e-04,4.822952070e+00,4.822952302e+00,4.678076005e+00,3.350294870e+00,1.327779866e+00,4.184350700e-02,1.423304220e-01,9.307748800e-02,4.925293400e-02,19235140,14436634,7.505343865e-01,1.597007457e+00,1.056114900e-02,1,2.056360245e-05
MPI mpi-io-in cyclic-x adaptive CUDA-aware MPI,CSR,Si41Ge41H72.mtx,185639,185639,15011265,4,5.691015600e-04,9.220798683e-05,52.754257078,4.547770400e-04,9.132032111e-05,5.247329044e+00,5.247329315e+00,5.137156780e+00,3.835466734e+00,1.301689303e+00,1.639832700e-02,1.100023790e-01,7.260718200e-02,3.739519700e-02,15011265,11246481,7.492027487e-01,1.236150052e+00,7.063707000e-03,1,2.730414435e-05
MPI mpi-io-in cyclic-x adaptive CUDA-aware MPI,CSR,FullChip.mtx,2987012,2987012,26621990,4,6.801905480e-03,1.211149996e-03,7.827803570,6.589839660e-03,1.825996792e-04,1.379119753e+01,1.379119778e+01,1.359226943e+01,9.285066189e+00,4.307202425e+00,1.564215050e-01,1.958443240e-01,1.274384710e-01,6.840585300e-02,26621990,19745873,7.417128847e-01,2.815781070e+00,2.157862800e-02,1,4.810702203e-04
MPI mpi-io-in cyclic-x adaptive CUDA-aware MPI,CSR,rajat31.mtx,4690002,4690002,20316253,4,5.283114080e-03,1.013945247e-03,7.691014312,5.107182680e-03,1.344102383e-04,1.213782658e+01,1.213782702e+01,1.198840848e+01,8.658400353e+00,3.330007300e+00,1.358537740e-01,1.481701740e-01,1.021976190e-01,4.597255500e-02,20316253,15238763,7.500774380e-01,1.759175865e+00,2.118291500e-02,1,6.988048553e-04
MPI mpi-io-in cyclic-x adaptive CUDA-aware MPI,CSR,webbase-2001.mtx,118142155,118142155,1019903190,4,2.264524271e-01,1.224173138e-02,9.007659604,2.211422134e-01,4.469186611e-03,3.258930964e+02,3.258930970e+02,3.184059156e+02,2.412480947e+02,7.715781998e+01,4.440598120e+00,7.433549278e+00,5.244799749e+00,2.188749529e+00,1019903190,764999990,7.500711808e-01,1.113090323e+02,6.317089120e-01,1,5.072355270e-05
MPI mpi-io-in cyclic-x adaptive CUDA-aware MPI,CSR,nlpkkt240.mtx,27993600,27993600,774472352,4,7.738844818e-02,7.266044597e-04,20.015192712,7.434382066e-02,3.033087969e-03,1.630627267e+02,1.630627271e+02,1.573511297e+02,1.093815396e+02,4.796958733e+01,9.061757290e-01,5.654590135e+00,3.986781112e+00,1.667809023e+00,774472352,580855623,7.500017547e-01,7.135761289e+01,3.602255360e-01,1,1.153945923e-04
MPI mpi-io-in cyclic-x adaptive CUDA-aware MPI,CSR,rmat_24.mtx,16777216,16777216,150994124,4,1.426316838e-02,1.444104501e-03,21.172592229,1.234095630e-02,1.854750736e-03,2.500802079e+01,2.500802109e+01,2.391219845e+01,1.827433806e+01,5.637858220e+00,3.022398600e-02,1.082805710e+00,7.494591620e-01,3.333465480e-01,150994124,113248735,7.500208088e-01,2.259561579e+01,7.239623600e-02,1,6.633996964e-05
MPI mpi-io-in cyclic-x adaptive CUDA-aware MPI,CSR,rmat_26.mtx,67108864,67108864,603978557,4,6.396230662e-02,3.014136327e-03,18.885452665,5.047147608e-02,1.319157753e-02,9.698416509e+01,9.698416525e+01,9.264437531e+01,6.982667987e+01,2.281769450e+01,9.857250800e-02,4.290981806e+00,2.972505407e+00,1.318476399e+00,603978557,452986391,7.500040949e-01,1.112948682e+02,2.697290570e-01,1,1.688003540e-04
