implementation,format,matrix,rows,cols,nnz,processes,avg_time_s,std_time_s,gflops,comm_time_s,compute_time_s,file_parse_s,input_total_s,input_read_parse_s,input_file_io_s,input_parse_s,matrix_validation_s,matrix_redistribution_s,matrix_pack_s,matrix_exchange_s,matrix_source_nnz,matrix_remote_nnz,matrix_remote_fraction,format_conv_s,h2d_transfer_s,valid,max_abs_error
MPI mpi-io-in 2d-gp-x adaptive NCCL,CSR,webbase-1M.mtx,1000005,1000005,3105536,4,1.878051000e-04,1.811465292e-04,33.071902733,1.311974200e-04,3.983359858e-05,1.807113643e+00,4.613429906e+00,1.773014451e+00,1.334223309e+00,4.387904760e-01,5.650579000e-03,3.365820500e-02,2.131206200e-02,1.234614300e-02,3105536,2275462,7.327115190e-01,1.839050352e-01,2.614595000e-03,1,1.545702528e-06
MPI mpi-io-in 2d-gp-x adaptive NCCL,CSR,bone010.mtx,986703,986703,71666325,4,4.589571800e-04,1.406306736e-05,312.300703085,1.293032600e-04,3.086131167e-04,1.603969678e+01,4.959194150e+01,1.546015543e+01,1.043622984e+01,5.023923291e+00,6.605705600e-02,5.733524570e-01,4.132377950e-01,1.601146620e-01,71666325,28018789,3.909617104e-01,1.551804090e+00,2.367926300e-02,0,1.655946069e-02
MPI mpi-io-in 2d-gp-x adaptive NCCL,CSR,eu-2005.mtx,862664,862664,19235140,4,2.535783600e-04,3.055093784e-06,151.709633267,1.290696400e-04,1.165516822e-04,4.960699165e+00,1.635935407e+01,4.800215212e+00,3.478565769e+00,1.321648697e+00,3.822462100e-02,1.589087250e-01,1.136349690e-01,4.527375600e-02,19235140,14247953,7.407252040e-01,5.365076532e-01,7.770583000e-03,1,2.038478851e-05
MPI mpi-io-in 2d-gp-x adaptive NCCL,CSR,Si41Ge41H72.mtx,185639,185639,15011265,4,2.170884600e-04,4.805521833e-06,138.296296357,1.214295600e-04,7.585792333e-05,5.993277428e+00,1.483163193e+01,5.867998390e+00,4.554200391e+00,1.313797190e+00,1.588579700e-02,1.250975300e-01,8.301064100e-02,4.208688900e-02,15011265,11163112,7.436489863e-01,3.302322498e-01,5.677338000e-03,1,2.298245828e-05
MPI mpi-io-in 2d-gp-x adaptive NCCL,CSR,FullChip.mtx,2987012,2987012,26621990,4,1.790710580e-03,2.865157884e-05,29.733436880,1.611063080e-03,1.651302406e-04,1.544460142e+01,3.846547129e+01,1.521334224e+01,1.087564105e+01,4.337700435e+00,1.571656960e-01,2.305055550e-01,1.464399700e-01,8.406558500e-02,26621990,20716857,7.781858907e-01,1.649351883e+00,1.517783500e-02,1,1.080270620e-03
MPI mpi-io-in 2d-gp-x adaptive NCCL,CSR,rajat31.mtx,4690002,4690002,20316253,4,2.627849200e-04,4.478199746e-06,154.622670130,1.287456200e-04,1.310720006e-04,1.565186901e+01,3.361359140e+01,1.548170186e+01,1.214464975e+01,3.337051357e+00,1.128444550e-01,1.686468280e-01,1.193599020e-01,4.928692600e-02,20316253,20065804,9.876724807e-01,1.268586864e+00,9.217033000e-03,1,6.988048553e-04
MPI mpi-io-in 2d-gp-x adaptive NCCL,CSR,webbase-2001.mtx,118142155,118142155,1019903190,4,7.102911700e-03,6.246170977e-04,287.178901576,3.267056840e-03,4.586229792e-03,3.693948409e+02,1.226396509e+03,3.607084910e+02,2.836633337e+02,7.704515531e+01,4.312433107e+00,8.634671382e+00,6.430016664e+00,2.204654718e+00,1019903190,756737510,7.419699413e-01,4.116089416e+01,3.505798660e-01,1,5.072355270e-05
MPI mpi-io-in 2d-gp-x adaptive NCCL,CSR,nlpkkt240.mtx,27993600,27993600,774472352,4,3.974997180e-03,6.202273087e-05,389.671900094,1.210624020e-03,3.296706543e-03,1.748307814e+02,5.741180243e+02,1.684196650e+02,1.201748419e+02,4.824482091e+01,8.980290080e-01,6.358566303e+00,4.529613661e+00,1.828952642e+00,774472352,533571675,6.889486418e-01,2.359880886e+01,2.435052150e-01,1,1.153945923e-04
MPI mpi-io-in 2d-gp-x adaptive NCCL,CSR,rmat_24.mtx,16777216,16777216,150994124,4,4.195499120e-03,1.305859302e-04,71.979099355,2.701911780e-03,1.752432630e-03,3.146498266e+01,2.997250199e+02,2.825420221e+01,2.264055870e+01,5.613642760e+00,2.273613000e-03,3.197936476e+00,2.827086522e+00,3.708499540e-01,150994124,113248471,7.500190603e-01,1.988073946e+01,6.247896000e-02,1,7.110834122e-05
MPI mpi-io-in 2d-gp-x adaptive NCCL,CSR,rmat_22.mtx,4194304,4194304,37748204,4,1.176327760e-03,1.168047618e-05,64.179738477,7.323354400e-04,4.589363235e-04,7.554921031e+00,6.608797211e+01,6.864700999e+00,5.480951701e+00,1.383748556e+00,1.429720500e-02,6.847935540e-01,5.930778400e-01,9.171571400e-02,37748204,28308961,7.499419310e-01,4.010619034e+00,1.622322400e-02,1,7.158517838e-05
