implementation,format,matrix,rows,cols,nnz,processes,avg_time_s,std_time_s,gflops,comm_time_s,compute_time_s,file_parse_s,input_total_s,input_read_parse_s,input_file_io_s,input_parse_s,matrix_validation_s,matrix_redistribution_s,matrix_pack_s,matrix_exchange_s,matrix_source_nnz,matrix_remote_nnz,matrix_remote_fraction,format_conv_s,h2d_transfer_s,valid,max_abs_error
MPI root-in cyclic-x adaptive host-staged MPI,CSR,webbase-1M.mtx,1000005,1000005,3105536,2,3.248906000e-04,7.214820990e-06,19.117425989,3.256218000e-05,5.957632020e-05,1.355833933e+00,1.435825135e+00,1.355833933e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,7.983583900e-02,6.538666000e-02,1.444917900e-02,3105536,1564664,5.038305787e-01,3.110736683e-01,3.513691000e-03,1,2.022539686e-06
MPI root-in cyclic-x adaptive host-staged MPI,CSR,bone010.mtx,986703,986703,71666325,2,3.701455800e-03,1.947245103e-05,38.723317998,3.330651400e-04,6.191872001e-04,1.529375066e+01,1.697989263e+01,1.529375066e+01,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.685930379e+00,1.443307389e+00,2.426229900e-01,71666325,35832975,4.999973837e-01,7.985272675e+00,4.269165100e-02,0,1.655946069e-02
MPI root-in cyclic-x adaptive host-staged MPI,CSR,eu-2005.mtx,862664,862664,19235140,2,2.481815640e-03,1.890120970e-05,15.500861297,2.601825400e-04,2.131027189e-04,4.543827183e+00,4.997521105e+00,4.543827183e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,4.535806820e-01,3.855542540e-01,6.802642800e-02,19235140,9626527,5.004656582e-01,2.172265589e+00,1.296008400e-02,1,2.038478851e-05
MPI root-in cyclic-x adaptive host-staged MPI,CSR,Si41Ge41H72.mtx,185639,185639,15011265,2,7.459589400e-04,9.343637927e-06,40.246893482,6.485292000e-05,1.484799993e-04,4.097631889e+00,4.454126187e+00,4.097631889e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,3.564226240e-01,3.016994410e-01,5.472318300e-02,15011265,7511823,5.004123903e-01,1.602935453e+00,9.536643000e-03,1,2.532686109e-05
MPI root-in cyclic-x adaptive host-staged MPI,CSR,FullChip.mtx,2987012,2987012,26621990,2,1.010433608e-02,7.420850986e-05,5.269418948,1.463959480e-03,3.028678370e-04,1.303818510e+01,1.366424722e+01,1.303818510e+01,0.000000000e+00,0.000000000e+00,0.000000000e+00,6.258930630e-01,5.335674730e-01,9.232559000e-02,26621990,13150876,4.939854609e-01,3.417726069e+00,1.844517600e-02,1,4.810702203e-04
MPI root-in cyclic-x adaptive host-staged MPI,CSR,rajat31.mtx,4690002,4690002,20316253,2,1.316346084e-02,2.064410787e-05,3.086764681,1.978158640e-03,2.417062405e-04,1.024274871e+01,1.071760644e+01,1.024274871e+01,0.000000000e+00,0.000000000e+00,0.000000000e+00,4.747964970e-01,4.070154850e-01,6.778101200e-02,20316253,10158751,5.000307389e-01,2.901299985e+00,1.560932500e-02,1,6.988048553e-04
MPI root-in cyclic-x adaptive host-staged MPI,CSR,webbase-2001.mtx,118142155,118142155,1019903190,2,2.997342043e-01,1.141888280e-02,6.805384074,4.988293162e-02,1.015648062e-02,2.686778298e+02,2.947476120e+02,2.686778298e+02,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.606964431e+01,2.128741433e+01,4.782229982e+00,1019903190,509857044,4.999072941e-01,1.771509133e+02,1.704066590e+00,1,5.072355270e-05
MPI root-in cyclic-x adaptive host-staged MPI,CSR,nlpkkt240.mtx,27993600,27993600,774472352,2,1.000511365e-01,3.991214379e-04,15.481530324,1.450741780e-02,7.324843512e-03,1.528081418e+02,1.710514127e+02,1.528081418e+02,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.824305087e+01,1.563611371e+01,2.606937161e+00,774472352,387236176,5.000000000e-01,7.391528102e+01,4.656797120e-01,1,1.153945923e-04
MPI root-in cyclic-x adaptive host-staged MPI,CSR,rmat_24.mtx,16777216,16777216,150994124,2,2.107644580e-02,1.115861819e-04,14.328234033,2.475395020e-03,4.876689911e-03,1.957368935e+01,2.309130246e+01,1.957368935e+01,0.000000000e+00,0.000000000e+00,0.000000000e+00,3.517480239e+00,3.013686358e+00,5.037938810e-01,150994124,75604516,5.007116436e-01,3.283084822e+01,1.003273800e-01,1,6.633996964e-05
MPI root-in cyclic-x adaptive host-staged MPI,CSR,rmat_22.mtx,4194304,4194304,37748204,2,5.227658680e-03,3.355421456e-05,14.441724799,5.914381600e-04,8.990944016e-04,4.722649566e+00,5.611476687e+00,4.722649566e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,8.887502360e-01,7.593024370e-01,1.294477990e-01,37748204,18800810,4.980583977e-01,6.694731187e+00,2.522012600e-02,1,1.341104507e-04
MPI root-in cyclic-x adaptive host-staged MPI,CSR,webbase-1M.mtx,1000005,1000005,3105536,3,4.115507400e-04,8.088577667e-06,15.091874212,2.234062400e-04,4.670527995e-05,1.363026765e+00,1.446665399e+00,1.363026765e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,8.344859600e-02,6.658774700e-02,1.686084900e-02,3105536,2061753,6.638960231e-01,2.741704589e-01,2.853785000e-03,1,2.022539686e-06
MPI root-in cyclic-x adaptive host-staged MPI,CSR,bone010.mtx,986703,986703,71666325,3,5.101292220e-03,2.908714687e-05,28.097321976,3.131816180e-03,4.398854405e-04,1.530347716e+01,1.703410885e+01,1.530347716e+01,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.730324309e+00,1.457065403e+00,2.732589060e-01,71666325,47777550,6.666666667e-01,7.404101676e+00,2.981435700e-02,0,1.655946069e-02
MPI root-in cyclic-x adaptive host-staged MPI,CSR,eu-2005.mtx,862664,862664,19235140,3,3.081985340e-03,2.838349757e-05,12.482304669,1.915032480e-03,1.596908799e-04,4.534020324e+00,4.991118772e+00,4.534020324e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,4.569954930e-01,3.873766500e-01,6.961884300e-02,19235140,12818593,6.664153731e-01,1.868398733e+00,9.250405000e-03,1,2.056360245e-05
MPI root-in cyclic-x adaptive host-staged MPI,CSR,Si41Ge41H72.mtx,185639,185639,15011265,3,9.948605400e-04,1.223463123e-05,30.177626705,5.663040600e-04,1.191756800e-04,4.090084318e+00,4.442686441e+00,4.090084318e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,3.525619960e-01,3.022879650e-01,5.027403100e-02,15011265,10005622,6.665408945e-01,1.432887679e+00,7.179405000e-03,1,2.745016057e-05
MPI root-in cyclic-x adaptive host-staged MPI,CSR,FullChip.mtx,2987012,2987012,26621990,3,1.332948326e-02,1.030485292e-04,3.994451920,8.838295140e-03,2.339276797e-04,1.303554017e+01,1.366697970e+01,1.303554017e+01,0.000000000e+00,0.000000000e+00,0.000000000e+00,6.312876860e-01,5.359197420e-01,9.536794400e-02,26621990,17147270,6.441017369e-01,2.902044149e+00,1.278067500e-02,1,4.810702203e-04
MPI root-in cyclic-x adaptive host-staged MPI,CSR,rajat31.mtx,4690002,4690002,20316253,3,2.277338982e-02,4.978745654e-05,1.784209831,1.500131126e-02,1.758201599e-04,1.022005903e+01,1.070254890e+01,1.022005903e+01,0.000000000e+00,0.000000000e+00,0.000000000e+00,4.824450070e-01,4.089029840e-01,7.354202300e-02,20316253,13534210,6.661764844e-01,2.993916350e+00,1.108292000e-02,1,6.988048553e-04
MPI root-in cyclic-x adaptive host-staged MPI,CSR,webbase-2001.mtx,118142155,118142155,1019903190,3,3.371909368e-01,5.993413127e-04,6.049410460,2.150488715e-01,6.986773787e-03,2.697938448e+02,2.938420883e+02,2.697938448e+02,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.404801289e+01,2.045102520e+01,3.596987698e+00,1019903190,679951950,6.666828349e-01,1.345678019e+02,4.524758340e-01,1,5.072355270e-05
MPI root-in cyclic-x adaptive host-staged MPI,CSR,nlpkkt240.mtx,27993600,27993600,774472352,3,1.397190494e-01,2.774837743e-04,11.086138297,8.927492312e-02,5.649096327e-03,1.532944993e+02,1.715158728e+02,1.532944993e+02,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.822115730e+01,1.549282136e+01,2.728335942e+00,774472352,516316816,6.666691389e-01,9.353900247e+01,3.217332450e-01,1,1.153945923e-04
MPI root-in cyclic-x adaptive host-staged MPI,CSR,rmat_24.mtx,16777216,16777216,150994124,3,2.341484702e-02,1.645836267e-03,12.897297503,1.252682206e-02,3.011754899e-03,1.955842068e+01,2.312237522e+01,1.955842068e+01,0.000000000e+00,0.000000000e+00,0.000000000e+00,3.563737044e+00,3.023425900e+00,5.403111440e-01,150994124,100925807,6.684088382e-01,2.683446350e+01,6.996525000e-02,1,6.633996964e-05
MPI root-in cyclic-x adaptive host-staged MPI,CSR,rmat_22.mtx,4194304,4194304,37748204,3,6.101330000e-03,2.147962032e-05,12.373762442,3.570436480e-03,6.106611240e-04,4.750301582e+00,5.647793717e+00,4.750301582e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,8.974422750e-01,7.582503510e-01,1.391919240e-01,37748204,25210667,6.678640128e-01,5.630254216e+00,1.823113500e-02,1,7.343292236e-05
MPI root-in cyclic-x adaptive host-staged MPI,CSR,webbase-1M.mtx,1000005,1000005,3105536,4,4.415112400e-04,1.020804263e-05,14.067755104,9.674150000e-05,4.837952033e-05,1.352538510e+00,1.438146874e+00,1.352538510e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,8.544741600e-02,6.488367100e-02,2.056374500e-02,3105536,2340633,7.536969464e-01,2.421019071e-01,2.671861000e-03,1,2.022539686e-06
