matrix,rows,cols,total_nnz,processes,partition,long_row_fraction,process_rows,process_cols,rank,rank_nnz,expand_send_values,expand_recv_values,fold_send_values,fold_recv_values,total_send_values,total_recv_values,total_volume_values,total_send_bytes,total_recv_bytes,total_volume_bytes,min_rank_volume_values,avg_rank_volume_values,max_rank_volume_values
matrices/FullChip.mtx,2987012,2987012,26621990,2,1d-cyclic,,1,2,0,13471114,1483429,1486048,0,0,1483429,1486048,2969477,5933716,5944192,11877908,2969477,2969477.000000,2969477
matrices/FullChip.mtx,2987012,2987012,26621990,2,1d-cyclic,,1,2,1,13150876,1486048,1483429,0,0,1486048,1483429,2969477,5944192,5933716,11877908,2969477,2969477.000000,2969477
matrices/FullChip.mtx,2987012,2987012,26621990,2,1d-block,,1,2,0,16435140,241004,1492383,0,0,241004,1492383,1733387,964016,5969532,6933548,1733387,1733387.000000,1733387
matrices/FullChip.mtx,2987012,2987012,26621990,2,1d-block,,1,2,1,10186850,1492383,241004,0,0,1492383,241004,1733387,5969532,964016,6933548,1733387,1733387.000000,1733387
matrices/FullChip.mtx,2987012,2987012,26621990,2,1d-gp,,1,2,0,13379881,994603,1145549,0,0,994603,1145549,2140152,3978412,4582196,8560608,2140152,2140152.000000,2140152
matrices/FullChip.mtx,2987012,2987012,26621990,2,1d-gp,,1,2,1,13242109,1145549,994603,0,0,1145549,994603,2140152,4582196,3978412,8560608,2140152,2140152.000000,2140152
matrices/FullChip.mtx,2987012,2987012,26621990,2,1d-lra,0.350000000,1,2,0,13310994,700826,1819081,0,0,700826,1819081,2519907,2803304,7276324,10079628,2519907,2519907.000000,2519907
matrices/FullChip.mtx,2987012,2987012,26621990,2,1d-lra,0.350000000,1,2,1,13310996,1819081,700826,0,0,1819081,700826,2519907,7276324,2803304,10079628,2519907,2519907.000000,2519907
matrices/FullChip.mtx,2987012,2987012,26621990,2,2d-block,,1,2,0,16435131,0,0,1492378,241004,1492378,241004,1733382,5969512,964016,6933528,1733382,1733382.000000,1733382
matrices/FullChip.mtx,2987012,2987012,26621990,2,2d-block,,1,2,1,10186859,0,0,241004,1492378,241004,1492378,1733382,964016,5969512,6933528,1733382,1733382.000000,1733382
matrices/FullChip.mtx,2987012,2987012,26621990,2,2d-gp,,1,2,0,13379881,0,0,1145549,994603,1145549,994603,2140152,4582196,3978412,8560608,2140152,2140152.000000,2140152
matrices/FullChip.mtx,2987012,2987012,26621990,2,2d-gp,,1,2,1,13242109,0,0,994603,1145549,994603,1145549,2140152,3978412,4582196,8560608,2140152,2140152.000000,2140152
matrices/FullChip.mtx,2987012,2987012,26621990,4,1d-cyclic,,2,2,0,5624706,1925925,1695292,0,0,1925925,1695292,3621217,7703700,6781168,14484868,3621217,3738974.500000,3859321
matrices/FullChip.mtx,2987012,2987012,26621990,4,1d-cyclic,,2,2,1,7629371,1770870,2036277,0,0,1770870,2036277,3807147,7083480,8145108,15228588,3621217,3738974.500000,3859321
matrices/FullChip.mtx,2987012,2987012,26621990,4,1d-cyclic,,2,2,2,7846408,1789066,2070255,0,0,1789066,2070255,3859321,7156264,8281020,15437284,3621217,3738974.500000,3859321
matrices/FullChip.mtx,2987012,2987012,26621990,4,1d-cyclic,,2,2,3,5521505,1992088,1676125,0,0,1992088,1676125,3668213,7968352,6704500,14672852,3621217,3738974.500000,3859321
matrices/FullChip.mtx,2987012,2987012,26621990,4,1d-block,,2,2,0,10941639,255964,2238877,0,0,255964,2238877,2494841,1023856,8955508,9979364,1179165,1651944.500000,2494841
matrices/FullChip.mtx,2987012,2987012,26621990,4,1d-block,,2,2,1,5493501,893665,627093,0,0,893665,627093,1520758,3574660,2508372,6083032,1179165,1651944.500000,2494841
matrices/FullChip.mtx,2987012,2987012,26621990,4,1d-block,,2,2,2,5090138,1101475,311539,0,0,1101475,311539,1413014,4405900,1246156,5652056,1179165,1651944.500000,2494841
matrices/FullChip.mtx,2987012,2987012,26621990,4,1d-block,,2,2,3,5096712,1052785,126380,0,0,1052785,126380,1179165,4211140,505520,4716660,1179165,1651944.500000,2494841
matrices/FullChip.mtx,2987012,2987012,26621990,4,1d-gp,,2,2,0,6843865,508310,1623160,0,0,508310,1623160,2131470,2033240,6492640,8525880,1229053,1740517.000000,2284052
matrices/FullChip.mtx,2987012,2987012,26621990,4,1d-gp,,2,2,1,6461335,1301826,15667,0,0,1301826,15667,1317493,5207304,62668,5269972,1229053,1740517.000000,2284052
matrices/FullChip.mtx,2987012,2987012,26621990,4,1d-gp,,2,2,2,6855452,462061,1821991,0,0,462061,1821991,2284052,1848244,7287964,9136208,1229053,1740517.000000,2284052
matrices/FullChip.mtx,2987012,2987012,26621990,4,1d-gp,,2,2,3,6461338,1208837,20216,0,0,1208837,20216,1229053,4835348,80864,4916212,1229053,1740517.000000,2284052
matrices/FullChip.mtx,2987012,2987012,26621990,4,1d-lra,0.350000000,2,2,0,5519770,675338,1894902,0,0,675338,1894902,2570240,2701352,7579608,10280960,2288676,2610339.000000,2942157
matrices/FullChip.mtx,2987012,2987012,26621990,4,1d-lra,0.350000000,2,2,1,7791224,983094,1959063,0,0,983094,1959063,2942157,3932376,7836252,11768628,2288676,2610339.000000,2942157
matrices/FullChip.mtx,2987012,2987012,26621990,4,1d-lra,0.350000000,2,2,2,6655494,1759578,880705,0,0,1759578,880705,2640283,7038312,3522820,10561132,2288676,2610339.000000,2942157
matrices/FullChip.mtx,2987012,2987012,26621990,4,1d-lra,0.350000000,2,2,3,6655502,1802668,486008,0,0,1802668,486008,2288676,7210672,1944032,9154704,2288676,2610339.000000,2942157
matrices/FullChip.mtx,2987012,2987012,26621990,4,2d-block,,2,2,0,10133295,170883,746667,746753,98998,917636,845665,1763301,3670544,3382660,7053204,1763301,1874177.000000,1985053
matrices/FullChip.mtx,2987012,2987012,26621990,4,2d-block,,2,2,1,6301836,746667,170883,745625,142006,1492292,312889,1805181,5969168,1251556,7220724,1763301,1874177.000000,1985053
matrices/FullChip.mtx,2987012,2987012,26621990,4,2d-block,,2,2,2,5898482,351965,745457,98998,746753,450963,1492210,1943173,1803852,5968840,7772692,1763301,1874177.000000,1985053
matrices/FullChip.mtx,2987012,2987012,26621990,4,2d-block,,2,2,3,4288377,745457,351965,142006,745625,887463,1097590,1985053,3549852,4390360,7940212,1763301,1874177.000000,1985053
matrices/FullChip.mtx,2987012,2987012,26621990,4,2d-gp,,2,2,0,6964011,13973,860681,448501,494691,462474,1355372,1817846,1849896,5421488,7271384,1779089,1926786.500000,2074484
matrices/FullChip.mtx,2987012,2987012,26621990,4,2d-gp,,2,2,1,6341189,860681,13973,538586,661244,1399267,675217,2074484,5597068,2700868,8297936,1779089,1926786.500000,2074484
matrices/FullChip.mtx,2987012,2987012,26621990,4,2d-gp,,2,2,2,6735306,13854,822043,494691,448501,508545,1270544,1779089,2034180,5082176,7116356,1779089,1926786.500000,2074484
matrices/FullChip.mtx,2987012,2987012,26621990,4,2d-gp,,2,2,3,6581484,822043,13854,661244,538586,1483287,552440,2035727,5933148,2209760,8142908,1779089,1926786.500000,2074484
matrices/Si41Ge41H72.mtx,185639,185639,15011265,2,1d-cyclic,,1,2,0,7499442,92820,92819,0,0,92820,92819,185639,371280,371276,742556,185639,185639.000000,185639
matrices/Si41Ge41H72.mtx,185639,185639,15011265,2,1d-cyclic,,1,2,1,7511823,92819,92820,0,0,92819,92820,185639,371276,371280,742556,185639,185639.000000,185639
matrices/Si41Ge41H72.mtx,185639,185639,15011265,2,1d-block,,1,2,0,7739162,23492,23374,0,0,23492,23374,46866,93968,93496,187464,46866,46866.000000,46866
matrices/Si41Ge41H72.mtx,185639,185639,15011265,2,1d-block,,1,2,1,7272103,23374,23492,0,0,23374,23492,46866,93496,93968,187464,46866,46866.000000,46866
matrices/Si41Ge41H72.mtx,185639,185639,15011265,2,1d-gp,,1,2,0,7587350,23224,23177,0,0,23224,23177,46401,92896,92708,185604,46401,46401.000000,46401
matrices/Si41Ge41H72.mtx,185639,185639,15011265,2,1d-gp,,1,2,1,7423915,23177,23224,0,0,23177,23224,46401,92708,92896,185604,46401,46401.000000,46401
matrices/Si41Ge41H72.mtx,185639,185639,15011265,2,1d-lra,0.350000000,1,2,0,7505605,45652,63857,0,0,45652,63857,109509,182608,255428,438036,109509,109509.000000,109509
matrices/Si41Ge41H72.mtx,185639,185639,15011265,2,1d-lra,0.350000000,1,2,1,7505660,63857,45652,0,0,63857,45652,109509,255428,182608,438036,109509,109509.000000,109509
matrices/Si41Ge41H72.mtx,185639,185639,15011265,2,2d-block,,1,2,0,7739162,0,0,23374,23492,23374,23492,46866,93496,93968,187464,46866,46866.000000,46866
matrices/Si41Ge41H72.mtx,185639,185639,15011265,2,2d-block,,1,2,1,7272103,0,0,23492,23374,23492,23374,46866,93968,93496,187464,46866,46866.000000,46866
matrices/Si41Ge41H72.mtx,185639,185639,15011265,2,2d-gp,,1,2,0,7587350,0,0,23177,23224,23177,23224,46401,92708,92896,185604,46401,46401.000000,46401
matrices/Si41Ge41H72.mtx,185639,185639,15011265,2,2d-gp,,1,2,1,7423915,0,0,23224,23177,23224,23177,46401,92896,92708,185604,46401,46401.000000,46401
