matrix,rows,cols,total_nnz,processes,partition,long_row_fraction,process_rows,process_cols,rank_0_nnz,rank_1_nnz,rank_2_nnz,rank_3_nnz,min_nnz,avg_nnz,max_nnz,min_over_avg,max_over_avg,spread_over_avg
matrices/FullChip.mtx,2987012,2987012,26621990,2,1d-cyclic,,1,2,13471114,13150876,,,13150876,13310995.000000,13471114,0.987970922,1.012029078,0.024058156
matrices/FullChip.mtx,2987012,2987012,26621990,2,1d-block,,1,2,16435140,10186850,,,10186850,13310995.000000,16435140,0.765295908,1.234704092,0.469408185
matrices/FullChip.mtx,2987012,2987012,26621990,2,1d-gp,,1,2,13379881,13242109,,,13242109,13310995.000000,13379881,0.994824880,1.005175120,0.010350241
matrices/FullChip.mtx,2987012,2987012,26621990,2,1d-lra,0.350000000,1,2,13310994,13310996,,,13310994,13310995.000000,13310996,0.999999925,1.000000075,0.000000150
matrices/FullChip.mtx,2987012,2987012,26621990,2,2d-block,,1,2,16435131,10186859,,,10186859,13310995.000000,16435131,0.765296584,1.234703416,0.469406832
matrices/FullChip.mtx,2987012,2987012,26621990,2,2d-gp,,1,2,13379881,13242109,,,13242109,13310995.000000,13379881,0.994824880,1.005175120,0.010350241
matrices/FullChip.mtx,2987012,2987012,26621990,4,1d-cyclic,,2,2,5624706,7629371,7846408,5521505,5521505,6655497.500000,7846408,0.829615667,1.178936361,0.349320693
matrices/FullChip.mtx,2987012,2987012,26621990,4,1d-block,,2,2,10941639,5493501,5090138,5096712,5090138,6655497.500000,10941639,0.764802030,1.644000167,0.879198137
matrices/FullChip.mtx,2987012,2987012,26621990,4,1d-gp,,2,2,6843865,6461335,6855452,6461338,6461335,6655497.500000,6855452,0.970826749,1.030043509,0.059216760
matrices/FullChip.mtx,2987012,2987012,26621990,4,1d-lra,0.350000000,2,2,5519770,7791224,6655494,6655502,5519770,6655497.500000,7791224,0.829354981,1.170644869,0.341289889
matrices/FullChip.mtx,2987012,2987012,26621990,4,2d-block,,2,2,10133295,6301836,5898482,4288377,4288377,6655497.500000,10133295,0.644336055,1.522545084,0.878209029
matrices/FullChip.mtx,2987012,2987012,26621990,4,2d-gp,,2,2,6964011,6341189,6735306,6581484,6341189,6655497.500000,6964011,0.952774605,1.046354686,0.093580082
matrices/Si41Ge41H72.mtx,185639,185639,15011265,2,1d-cyclic,,1,2,7499442,7511823,,,7499442,7505632.500000,7511823,0.999175219,1.000824781,0.001649561
